extract	country	city	top	left	bottom	right
afghanistan	Afghanistan		385899217	60403889	29288333	74989862
albania	Albania		427611669	190246095	395448625	211574335
algeria	Algeria		373962055	-87689089	18868147	12097337
andorra	Andorra		427559357	13135781	423288238	18863837
angola	Angola		-42888889	113609793	-181389449	2418212
anguilla	Anguilla		188951194	-637391991	179609378	-626125448
argentina	Argentina		-216811679	-736603073	-55285076	-535374514
armenia	Armenia		41400712	433471395	387404775	467333087
australia	Australia		-9090427	721460938	-554228174	1683249543
austria	Austria		491205264	94307487	462722761	17260776
azerbaijan	Azerbaijan		420502947	446633701	382929551	511090302
bahrain	Bahrain		267872444	501697989	25435	510233693
bangladesh	Bangladesh		267382534	879075306	202756582	927804979
barbados	Barbados		13635	-599562114	12745	-591147174
belarus	Belarus		562722235	230783386	511575982	328627809
belgium	Belgium		516516667	22889137	493969821	6508097
belize	Belize		18596001	-893261456	157857286	-872098493
benin	Benin		125065612	676667	59398696	3943343
bermuda	Bermuda		326913693	-652232221	319469651	-643109841
bhutan	Bhutan		28346987	886464724	26602016	922252321
bolivia	Bolivia		-95689437	-697450072	-230005473	-573529999
bosnia_and_herzegovina	Bosnia and Herzegovina		453764771	156287433	424543231	197217086
botswana	Botswana		-176781369	198986474	-270059668	29475304
brazil	Brazil		53842873	-740830624	-339689055	-285341163
british_indian_ocean_territory	British Indian Ocean Territory		-49370659	70936504	-77454078	728020157
british_virgin_islands	British Virgin Islands		190503802	-65055961	180055311	-639597293
brunei	Brunei		52011857	113976123	3902508	1154635623
bulgaria	Bulgaria		443162214	22257337	411353929	289875409
burkina_faso	Burkina Faso		15184	-56175099	9293889	250261
burundi	Burundi		-22096795	289007401	-45693154	309495759
cote_d'ivoire	Cote d'Ivoire		10840015	-87017249	40621205	-23930309
cambodia	Cambodia		147902471	1022338282	93230459	1077276788
cameroon	Cameroon		13183333	82822176	15546659	162921476
canada	Canada		834362128	-1411027499	415765556	-52223198
cape_verde	Cape Verde		17507117	-256731072	145066229	-223547751
cayman_islands	Cayman Islands		200573759	-817313747	189620619	-794110953
central_african_republic	Central African Republic		11101389	143155426	21156553	275540764
chad	Chad		235975	1337348	734107	42393
chile	Chile		-173983997	-1097795788	-568249999	-659734088
china	China		536608154	733997347	148082548	1348754563
colombia	Colombia		162219145	-821000001	-43316871	-667511906
comoros	Comoros		-110649999	42925305	-127209999	448451922
congo-brazzaville	Congo-Brazzaville		3813056	109048205	-52358572	18743611
