       id       |                                                                                 ver                                                                                  
----------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------
 ReportName   : | O2V-QA-R001 Analyze Geometry tables 
 ReportVersion: | v0.0.1/2016-jun-29
 RunTime      : | 2016-06-29 16:40:48.128526+00
 postgis      : | POSTGIS="2.2.0 r14208" GEOS="3.5.0-CAPI-1.9.0 r4084" PROJ="Rel. 4.8.0, 6 March 2012" GDAL="GDAL 1.10.1, released 2013/08/26" LIBXML="2.9.1" LIBJSON="0.11.99" RASTER
 postgresql   : | PostgreSQL 9.5.0 on x86_64-pc-linux-gnu, compiled by gcc (Debian 4.9.2-10) 4.9.2, 64-bit
(5 rows)

CREATE FUNCTION
   tgrp   |        tablename         | count_rec | uniq_id | uniq_type |    sum_area     |      avg_area      |      min_area      |    max_area     | sum_length | avg_length | min_length | max_length | max_numgeom | avg_numgeom | n_point | n_linestring | n_multilinestring | n_polygon | n_multipolygon | n_other | n_polyarea_l10m2 | n_polyarea_l100m2 | n_polyarea_l1000m2 | n_linelen_l1m | n_linelen_l10m | n_linelen_l100m | n_linelen_l1000m |     id_md5_1     |     id_md5_2     |     id_md5_3     |     id_md5_4     
----------+--------------------------+-----------+---------+-----------+-----------------+--------------------+--------------------+-----------------+------------+------------+------------+------------+-------------+-------------+---------+--------------+-------------------+-----------+----------------+---------+------------------+-------------------+--------------------+---------------+----------------+-----------------+------------------+------------------+------------------+------------------+------------------
 road     | osm_road_geometry        |    978767 |  968828 |        42 |        81094532 |             82.854 |         0.00000000 |        10859788 |  334606769 |    341.866 | 0.00000000 |     147823 |           6 |  1.00001328 |       0 |       968460 |                 0 |     10298 |              9 |       0 |               11 |               243 |               5650 |           122 |          31655 |          378570 |           896334 | 2101498207622745 | 2101354734761864 | 2100268986843368 | 2100092460678187
 road     | road_z5                  |      7180 |    7168 |         2 |           28484 |              3.967 |         0.00000000 |            4855 |    5243175 |    730.247 | 0.00000000 |      23814 |           1 |  1.00000000 |       0 |         7168 |                 0 |        12 |              0 |       0 |                0 |                 0 |                  0 |             0 |             15 |            1610 |             5815 |   15444615783533 |   15450996341552 |   15700651470773 |   15528493417100
 road     | road_z6toz7              |     26561 |   25689 |         3 |         1029060 |             38.743 |         0.00000000 |           25894 |   12322039 |    463.915 | 0.00000000 |      23814 |           1 |  1.00000000 |       0 |        25689 |                 0 |       872 |              0 |       0 |                0 |                 0 |                480 |             1 |            290 |            8713 |            22683 |   57125686298978 |   57335671797317 |   57488396278890 |   57072327326820
 road     | road_z8toz9              |     66032 |   64420 |         8 |         1694241 |             25.658 |         0.00000000 |           25894 |   31262478 |    473.444 | 0.00000000 |      83182 |           1 |  1.00000000 |       0 |        64419 |                 0 |      1613 |              0 |       0 |                0 |                 2 |                992 |             4 |            835 |           22561 |            56741 |  142189993156809 |  142233714445974 |  142322507711109 |  141736901980755
 road     | road_z10                 |     95375 |   93292 |         9 |         2041147 |             21.401 |         0.00000000 |           25894 |   47404854 |    497.036 | 0.00000000 |      83182 |           1 |  1.00000000 |       0 |        93291 |                 0 |      2084 |              0 |       0 |                0 |                 4 |               1389 |             8 |           1277 |           31900 |            81010 |  204981355103363 |  205202620232015 |  205086498662178 |  204914373535587
 road     | road_z11                 |    294437 |  291418 |        15 |        35023643 |            118.951 |         0.00000000 |        10414555 |  118740127 |    403.279 | 0.00000000 |     147823 |           2 |  1.00000340 |       0 |       291407 |                 0 |      3029 |              1 |       0 |                1 |                14 |               2063 |            20 |           3760 |           81523 |           266842 |  631171557673651 |  632644462446271 |  631871162669403 |  632446212934481
 road     | road_z12                 |    527102 |  518936 |        32 |        60896862 |            115.531 |         0.00000000 |        10859788 |  154847572 |    293.772 | 0.00000000 |     147823 |           6 |  1.00001707 |       0 |       518649 |                 0 |      8448 |              5 |       0 |                5 |                87 |               4730 |            31 |           8590 |          211228 |           490190 | 1130696074342510 | 1131632386621232 | 1131850099283975 | 1131213645953464
 road     | road_z13                 |    763470 |  754879 |        33 |        70568660 |             92.431 |         0.00000000 |        10859788 |  274176442 |    359.119 | 0.00000000 |     147823 |           6 |  1.00001179 |       0 |       754583 |                 0 |      8882 |              5 |       0 |                6 |                89 |               4884 |            35 |          11699 |          259822 |           696107 | 1638804464031244 | 1639323794898257 | 1638754067549016 | 1637644763499504
 road     | road_z14                 |    978767 |  968828 |        42 |        81094532 |             82.854 |         0.00000000 |        10859788 |  334606769 |    341.866 | 0.00000000 |     147823 |           6 |  1.00001328 |       0 |       968460 |                 0 |     10298 |              9 |       0 |               11 |               243 |               5650 |           122 |          31655 |          378570 |           896334 | 2101498207622745 | 2101354734761864 | 2100268986843368 | 2100092460678187
 barrier  | osm_barrier_polygon      |     11105 |   11105 |        15 |        45956261 |           4138.340 |         0.04489153 |         1788501 |          0 |      0.000 | 0.00000000 |          0 |           3 |  1.00036020 |       0 |            0 |                 0 |     11102 |              3 |       0 |               63 |               523 |               3985 |             0 |              0 |               0 |                0 |   23700292248800 |   23655339559110 |   23774217261210 |   23647529827505
 barrier  | barrier_line_z14         |     56703 |   45651 |        20 |        45956261 |            810.473 |         0.00000000 |         1788501 |    7103890 |    125.282 | 0.00000000 |      22478 |           3 |  1.00007054 |       0 |        45598 |                 0 |     11102 |              3 |       0 |               63 |               523 |               3985 |             9 |           1925 |           25035 |            44925 |  120969381015199 |  121644926469622 |  121554194277890 |  121421456857079
 building | building_z13             |     67612 |   67612 |         0 |       274749461 |           4063.620 |      1700.01138141 |          523077 |          0 |      0.000 | 0.00000000 |          0 |          16 |  1.00079867 |       0 |            0 |                 0 |     67589 |             23 |       0 |                0 |                 0 |                  0 |             0 |              0 |               0 |                0 |  145138868517114 |  145292997813460 |  144768831875781 |  145580147483947
 building | building_z14             |   1966496 | 1966496 |         0 |       991451223 |            504.171 |         0.00050382 |          523077 |          0 |      0.000 | 0.00000000 |          0 |          16 |  1.00004373 |       0 |            0 |                 0 |   1966455 |             41 |       0 |             3400 |            234770 |            1797720 |             0 |              0 |               0 |                0 | 4223023873180303 | 4225376899685662 | 4222953542313568 | 4224795505089912
 water    | water_z0                 |        42 |       1 |         0 | 990782595243454 | 23590061791510.800 | 128234023.39398800 | 271127855141693 |          0 |      0.000 | 0.00000000 |          0 |           1 |  1.00000000 |       0 |            0 |                 0 |        42 |              0 |       0 |                0 |                 0 |                  0 |             0 |              0 |               0 |                0 |     146425730472 |     105579198774 |      72511831770 |     175828798404
 water    | water_z1                 |       245 |       1 |         0 | 991539901336992 |  4047101638110.170 |     61016.19599791 | 100359390860874 |          0 |      0.000 | 0.00000000 |          0 |           1 |  1.00000000 |       0 |            0 |                 0 |       245 |              0 |       0 |                0 |                 0 |                  0 |             0 |              0 |               0 |                0 |     854150094420 |     615878659515 |     422985685325 |    1025667990690
 water    | water_z2toz3             |      2063 |       1 |         0 | 992910185005274 |   481294321379.192 |         3.76736650 |  50180760199249 |          0 |      0.000 | 0.00000000 |          0 |           1 |  1.00000000 |       0 |            0 |                 0 |      2063 |              0 |       0 |                1 |                 1 |                  3 |             0 |              0 |               0 |                0 |    7192292427708 |    5185949692161 |    3561712117655 |    8636543121606
 water    | water_z4                 |     12746 |       1 |         0 | 952361804927088 |    74718484616.906 |         0.05415462 |    392216787970 |          0 |      0.000 | 0.00000000 |          0 |           3 |  1.00086302 |       0 |            0 |                 0 |     12737 |              9 |       0 |               23 |                50 |                127 |             0 |              0 |               0 |                0 |   44436722871336 |   32040773037462 |   22005614470010 |   53359853915652
 water    | water_z5toz7             |     12426 |    1024 |         0 | 948974267937182 |    76370052143.665 |         0.05415462 |    392216787970 |          0 |      0.000 | 0.00000000 |          0 |           3 |  1.00064381 |       0 |            0 |                 0 |     12419 |              7 |       0 |               23 |                50 |                126 |             0 |              0 |               0 |                0 |   41925011483130 |   30819206631741 |   21858972917413 |   49905360382042
 water    | water_z8toz10            |    130878 |    1024 |         0 | 948869816546435 |     7250032981.452 |         0.00000001 |  25094860672126 |          0 |      0.000 | 0.00000000 |          0 |           3 |  1.00006113 |       0 |            0 |                 0 |    130871 |              7 |       0 |             1588 |              4581 |              10983 |             0 |              0 |               0 |                0 |  454887407337162 |  328582712659785 |  226363056175033 |  545792808680866
 water    | water_z11toz12           |    131696 |    1842 |         0 | 948869837125613 |     7205001193.093 |         0.00000001 |  25094860672126 |          0 |      0.000 | 0.00000000 |          0 |           4 |  1.00010631 |       0 |            0 |                 0 |    131685 |             11 |       0 |             1588 |              4581 |              10983 |             0 |              0 |               0 |                0 |  456589683472051 |  330368266667912 |  228105870772383 |  547540418498385
 water    | water_z13toz14           |    141273 |   11419 |         0 | 948869856578056 |     6716569030.020 |         0.00000001 |  25094860672126 |          0 |      0.000 | 0.00000000 |          0 |           4 |  1.00014157 |       0 |            0 |                 0 |    141257 |             16 |       0 |             1618 |              6237 |              16498 |             0 |              0 |               0 |                0 |  477243316523260 |  351140843345001 |  248768801738349 |  568379310192416
